,STAID,STANAME,LAT_GAGE,LNG_GAGE,CLASS
139,11047500,ALISO C A EL TORO CA,33.626134,-117.685051,Non-ref
140,11048200,AGUA CHINON WASH NR IRVINE CA,33.67891,-117.714219,Non-ref
141,11048500,SAN DIEGO C AT CULVER DR NR IRVINE CA,33.681687,-117.809499,Non-ref
142,11048553,SAND CYN C A IRVINE CA,33.657243,-117.827555,Non-ref
143,11048600,BONITA C A IRVINE CA,33.645021,-117.861167,Non-ref
144,11051499,SANTA ANA R NR MENTONE (RIVER ONLY) CA,34.108345,-117.100591,Non-ref
145,11051500,SANTA ANA R NR MENTONE CA,34.108345,-117.100591,Non-ref
146,11054000,MILL C NR YUCAIPA CA,34.090845,-117.037533,Non-ref
147,11055500,PLUNGE C NR EAST HIGHLANDS CA,34.118345,-117.141704,Non-ref
148,11055800,CITY C NR HIGHLAND CA,34.143899,-117.188651,Non-ref
149,11056500,LITTLE SAN GORGONIO C NR BEAUMONT CA,34.02918,-116.946137,Non-ref
150,11057000,SAN TIMOTEO C NR REDLANDS CA,34.03307,-117.208928,Non-ref
151,11057500,SAN TIMOTEO C NR LOMA LINDA CA,34.063625,-117.27282,Non-ref
152,11058000,SAND CANYON C NR HIGHLAND CA,34.15472,-117.22667,Ref
153,11058500,E TWIN C NR ARROWHEAD SPRINGS CA,34.179176,-117.265598,Non-ref
154,11058600,WATERMAN CYN C NR ARROWHEAD SPGS CA,34.193342,-117.274487,Ref
155,11059300,SANTA ANA R A E ST NR SAN BERNARDINO CA,34.065013,-117.300321,Non-ref
156,11060400,WARM C NR SAN BERNARDINO CA,34.078346,-117.300321,Non-ref
157,11062000,LYTLE C NR FONTANA CA,34.21223,-117.458105,Non-ref
158,11062001,LYTLE+BRLNE+COND+INF - W27 CA,34.21223,-117.458105,Non-ref
159,11063000,CAJON C NR KEENBROOK CA,34.26695,-117.46005,Non-ref
160,11063500,LONE PINE C NR KEENBROOK CA,34.266395,-117.463939,Non-ref
161,11063510,CAJON C BL LONE PINE C NR KEENBROOK CA,34.263339,-117.466994,Non-ref
162,11063680,DEVIL CYN C NR SAN BERNARDINO CA,34.208341,-117.331434,Non-ref
163,11065000,Lytle Creek at Colton  CA,34.078901,-117.305599,Non-ref
164,11066460,SANTA ANA R A MWD CROSSING CA,33.968626,-117.448381,Non-ref
165,11066500,SANTA ANA R A RIVERSIDE NAROWS NR ARLINGTON CA,33.964737,-117.466159,Non-ref
166,11067000,DAY C NR ETIWANDA CA,34.185008,-117.539774,Non-ref
167,11069500,SAN JACINTO R NR SAN JACINTO,33.738076,-116.83391,Non-ref
168,11070000,BAUTISTA C NR HEMET CA,33.694467,-116.850855,Non-ref
169,11070210,SAN JACINTO R A RAMONA EXPRESSWAY NR LAKEVIEW CA,33.83974,-117.13587,Non-ref
170,11070365,SAN JACINTO R NR SUN CITY CA,33.746131,-117.231703,Non-ref
171,11070375,SAN JACINTO R A RR CYN WEIR NR ELSINORE CA,33.736131,-117.253093,Non-ref
172,11070465,SALT C A MURRIETA RD NR SUN CITY CA,33.694188,-117.20559,Non-ref
173,11070500,SAN JACINTO R NR ELSINORE CA,33.664189,-117.293927,Non-ref
174,11072100,TEMESCAL C AB MAIN ST A CORONA CA,33.889182,-117.562827,Non-ref
175,11073000,SAN ANTONIO C NR CLAREMONT CA,34.215562,-117.668667,Non-ref
176,11073001,SAN ANTONIO C NR CLAREMONT + CN CA,34.216117,-117.668667,Ref
177,11073300,SAN ANTONIO C A RIVERSIDE DRIVE NR CHINO CA,34.018623,-117.730612,Non-ref
178,11073360,CHINO C A SCHAEFER AVENUE NR CHINO CA,34.003901,-117.727001,Non-ref
179,11073470,CUCAMONGA C NR UPLAND CA,34.179452,-117.628943,Ref
180,11073495,CUCAMONGA C NR MIRA LOMA CA,33.982791,-117.599497,Non-ref
181,11074000,SANTA ANA R BL PRADO DAM CA,33.883349,-117.64533,Non-ref
182,11075720,CARBON C BL CARBON CYN DAM CA,33.913347,-117.842558,Non-ref
183,11075800,SANTIAGO C A MODJESKA CA,33.712797,-117.64505,Non-ref
184,11077500,SANTIAGO C A SANTA ANA CA,33.770295,-117.884501,Non-ref
185,11078000,SANTA ANA R A SANTA ANA CA,33.751128,-117.908391,Non-ref
186,11080500,EF SAN GABRIEL R NR CAMP BONITA CA,34.235838,-117.805893,Ref
187,11082000,WF SAN GABRIEL R A CAMP RINCON CA,34.241115,-117.863395,Non-ref
188,11084500,FISH C NR DUARTE CA,34.16584,-117.92423,Ref
189,11085000,SAN GABRIEL R BL SANTA FE DAM NR BALDWIN PK CA,34.11223,-117.969509,Non-ref
190,11086300,SAN DIMAS C BL SAN DIMAS DAM CA,34.152785,-117.772558,Non-ref
191,11086500,LITTLE DALTON C NR GLENDORA CA,34.167507,-117.838394,Ref
192,11087020,SAN GABRIEL R AB WHITTIER NARROWS DAM CA,34.033344,-118.038123,Non-ref
193,11087500,SAN GABRIEL R A PICO CA,34.013068,-118.064234,Non-ref
194,11088000,SAN GABRIEL R A SPRING ST NR LOS ALAMITOS CA,33.811961,-118.090898,Non-ref
195,11088500,BREA C BL BREA DAM NR FULLERTON CA,33.887792,-117.92645,Non-ref
196,11089000,BREA C A FULLERTON CA,33.873626,-117.925894,Non-ref
197,11089500,FULLERTON C BL FULLERTON DAM NR BREA CA,33.895848,-117.886171,Non-ref
198,11090200,FULLERTON C A RICHMAN AVE AT FULLERTON CA,33.862515,-117.932838,Non-ref
199,11092450,LOS ANGELES R A SEPULVEDA DAM CA,34.161672,-118.466749,Non-ref
200,11093000,PACOIMA C NR SAN FERNANDO CA,34.335277,-118.398137,Non-ref
201,11094000,TUJUNGA C BL MILL C NR COLBY RANCH CA,34.309167,-118.14535,Ref
202,11095500,BIG TUJUNGA C NR SUNLAND CA,34.300556,-118.268688,Non-ref
203,11096500,LITTLE TUJUNGA C NR SAN FERNANDO CA,34.274446,-118.37258,Ref
204,11097000,BIG TUJUNGA C BL HANSEN DAM CA,34.253614,-118.38897,Non-ref
205,11097500,LOS ANGELES R A LOS ANGELES CA,34.081122,-118.227573,Non-ref
206,11098000,ARROYO SECO NR PASADENA CA,34.222226,-118.177573,Ref
207,11098500,LOS ANGELES R NR DOWNEY CA,33.949459,-118.173959,Non-ref
208,11100000,SANTA ANITA C NR SIERRA MADRE CA,34.191672,-118.017289,Ref
209,11101250,RIO HONDO AB WHITTIER NARROWS DAM CA,34.058344,-118.071735,Non-ref
210,11101500,RIO HONDO NR MONTEBELLO CA,34.033345,-118.073679,Non-ref
211,11102000,MISSION C NR MONTEBELLO CA,34.029178,-118.069512,Non-ref
212,11102300,RIO HONDO BL WHITTIER NARROWS DAM CA,34.016679,-118.088402,Non-ref
213,11102500,RIO HONDO NR DOWNEY CA,33.946681,-118.162848,Non-ref
214,11103000,LOS ANGELES R A LONG BEACH CA,33.817239,-118.206458,Non-ref
215,11103500,BALLONA C NR CULVER CITY CA,33.998345,-118.4023,Non-ref
216,11104000,TOPANGA C NR TOPANGA BCH CA,34.064452,-118.587028,Non-ref
217,11105500,MALIBU C AT CRATER CAMP NR CALABASAS CA,34.077785,-118.701753,Non-ref
218,11105510,MALIBU C A MALIBU CA,34.043333,-118.684167,Non-ref
219,11105850,ARROYO SIMI NR SIMI CA,34.273058,-118.787871,Non-ref
220,11106550,CALLEGUAS C NR CAMARILLO CA,34.17945,-119.039824,Non-ref
221,11107745,SANTA CLARA R AB RR STATION NR LANG CA,34.429718,-118.355358,Non-ref
222,11108134,CASTAIC C BLW MWD DIV BLW CASTAIC LK NR CASTAIC,34.51944,-118.61037,Non-ref
223,11108145,CASTAIC C NR SAUGUS CA,34.428329,-118.628699,Non-ref
224,11108500,SANTA CLARA RIVER AT L.A.-VENTURA CO. LINE CA,34.399719,-118.704813,Non-ref
225,11109000,SANTA CLARA R NR PIRU CA,34.403608,-118.739258,Non-ref
226,11109395,CANADA DE LOS ALAMOS AB PYRAMID LK CA,34.69193,-118.7912,Non-ref
227,11109525,PIRU C BL PYRAMID LK NR GORMAN CA,34.64165,-118.76454,Non-ref
228,11109600,PIRU CREEK ABOVE LAKE PIRU CA,34.523047,-118.757036,Non-ref
229,11109800,PIRU CREEK BELOW SANTA FELICIA DAM CA,34.460272,-118.752036,Non-ref
230,11110500,HOPPER CREEK NEAR PIRU CA,34.40083,-118.826484,Non-ref
231,11111500,SESPE CREEK NEAR WHEELER SPRINGS CA,34.577766,-119.25789,Ref
232,11113000,SESPE C NR FILLMORE,34.450828,-118.925932,Non-ref
233,11113500,SANTA PAULA C NR SANTA PAULA,34.395553,-119.076494,Non-ref
234,11114000,SANTA CLARA RIVER AT MONTALVO CA,34.242227,-119.18983,Non-ref
235,11114495,MATILIJA C NR RES NR MATILIJA HOT SPRINGS CA,34.502769,-119.357339,Ref
236,11114500,MATILIJA C AB RES NR MATILIJA HOT SPRINGS CA,34.494714,-119.330949,Ref
237,11115500,MATILIJA C A MATILIJA HOT SPRINGS,34.48277,-119.301781,Non-ref
238,11116000,NF MATILIJA C A MATILIJA HOT SPRINGS CA,34.492492,-119.306503,Ref
239,11116550,VENTURA R NR MEINERS OAKS CA,34.464993,-119.289836,Non-ref
240,11117500,SAN ANTONIO C A CASITAS SPRINGS,34.380275,-119.304558,Non-ref
241,11117600,COYOTE CREEK NEAR OAK VIEW CA,34.416662,-119.370672,Ref
242,11117800,SANTA ANA C NR OAK VIEW,34.423606,-119.341227,Non-ref
243,11118000,COYOTE C NR VENTURA CA,34.35722,-119.313725,Non-ref
244,11118500,VENTURA R NR VENTURA,34.35222,-119.308447,Non-ref
245,11119500,CARPINTERIA C NR CARPINTERIA CA,34.401384,-119.487066,Non-ref
246,11119745,MISSION C A ROCKY NOOK PARK A SANTA BARBARA CA,34.440553,-119.711803,Non-ref
247,11119750,MISSION C NR MISSION ST NR SANTA BARBARA CA,34.426389,-119.722222,Non-ref
248,11119780,ARROYO BURRO A SANTA BARBARA CA,34.436942,-119.746527,Non-ref
249,11119940,MARIA YGNACIO C A UNIV DR NR GOLETA CA,34.444997,-119.80375,Non-ref
250,11120000,ATASCADERO C NR GOLETA CA,34.424719,-119.811805,Non-ref
251,11120500,SAN JOSE C NR GOLETA CA,34.459163,-119.809028,Ref
252,11120510,SAN JOSE C A GOLETA CA,34.430274,-119.822083,Non-ref
